# detector ID, old position (x), old position (y), old position (z), calibrated position (x), calibrated position (y), calibrated position (z), calib. L2, calib. 2\theta, calib. \phi, delta L2 (calibrated - old), difc, zero
115085,-1.4774931,0.0000000,-0.2590271,-1.4468721,0.0000000,-0.2536588,1.4689389467,1.7443478107,3.1415927410,-0.0310880169,19927.5917968750,-5.9372782707
115086,-1.4769928,0.0000000,-0.2619851,-1.5053560,0.0000000,-0.2670161,1.5288538933,1.7463477850,3.1415927410,0.0288059153,19967.5371093750,-41.9603843689
115087,-1.4764925,0.0000000,-0.2649431,-1.5049429,0.0000000,-0.2700482,1.5289797783,1.7483476400,3.1415927410,0.0289048273,19984.3105468750,-37.6210212708
115088,-1.4759922,0.0000000,-0.2679010,-1.4573606,0.0000000,-0.2645193,1.4811719656,1.7503473759,3.1415927410,-0.0189360119,19982.4609375000,-10.9456501007
115089,-1.4754919,0.0000000,-0.2708590,-1.4390362,0.0000000,-0.2641668,1.4630820751,1.7523469925,3.1415927410,-0.0370648950,19992.1015625000,-5.6397852898
115090,-1.4749916,0.0000000,-0.2738170,-1.4498091,0.0000000,-0.2691422,1.4745792150,1.7543466091,3.1415927410,-0.0256127398,20013.2148437500,-9.8815431595
115091,-1.4744913,0.0000000,-0.2767750,-1.4342304,0.0000000,-0.2692177,1.4592789412,1.7563459873,3.1415927410,-0.0409640595,20023.8867187500,-4.2755050659
115092,-1.4739910,0.0000000,-0.2797330,-1.4415083,0.0000000,-0.2735685,1.4672374725,1.7583452463,3.1415927410,-0.0330624804,20043.5839843750,-5.7619762421
115093,-1.4734907,0.0000000,-0.2826910,-1.4362285,0.0000000,-0.2755422,1.4624211788,1.7603443861,3.1415927410,-0.0379417837,20058.2871093750,-4.9025621414
115094,-1.4729904,0.0000000,-0.2856490,-1.4543072,0.0000000,-0.2820258,1.4814007282,1.7623432875,3.1415927410,-0.0190312527,20082.2480468750,-13.0398931503
115095,-1.4724901,0.0000000,-0.2886070,-1.4290749,0.0000000,-0.2800976,1.4562656879,1.7643420696,3.1415927410,-0.0442412458,20088.9765625000,-1.8049378395
115096,-1.4713644,0.0000000,-0.2942919,-1.4665707,0.0000000,-0.2933331,1.4956182241,1.7682043314,3.1415927410,-0.0048886850,20136.2558593750,-20.0698280334
115097,-1.4706998,0.0000000,-0.2972174,-1.4445353,0.0000000,-0.2919297,1.4737385511,1.7702031136,3.1415927410,-0.0266934354,20144.1796875000,-11.9952955246
115098,-1.4700351,0.0000000,-0.3001428,-1.4357436,0.0000000,-0.2931414,1.4653639793,1.7722020149,3.1415927410,-0.0349990353,20157.3613281250,-7.3856196404
115099,-1.4693705,0.0000000,-0.3030683,-1.4367872,0.0000000,-0.2963477,1.4670307636,1.7742011547,3.1415927410,-0.0332691595,20174.4550781250,-8.3914155960
115100,-1.4687058,0.0000000,-0.3059937,-1.4364427,0.0000000,-0.2992719,1.4672870636,1.7762004137,3.1415927410,-0.0329559185,20190.9785156250,-2.8035802841
115101,-1.4680412,0.0000000,-0.3089192,-1.4401321,0.0000000,-0.3030463,1.4716717005,1.7781997919,3.1415927410,-0.0285202842,20209.1035156250,-7.4587798119
115102,-1.4673765,0.0000000,-0.3118446,-1.4553080,0.0000000,-0.3092798,1.4878089428,1.7801994085,3.1415927410,-0.0123380991,20231.8281250000,-12.5281829834
115103,-1.4667119,0.0000000,-0.3147701,-1.4551701,0.0000000,-0.3122931,1.4883033037,1.7821990252,3.1415927410,-0.0118046422,20248.3945312500,-16.0492801666
115104,-1.4660473,0.0000000,-0.3176955,-1.4309693,0.0000000,-0.3100940,1.4641828537,1.7841987610,3.1415927410,-0.0358921587,20255.2539062500,-6.2360601425
115105,-1.4653826,0.0000000,-0.3206210,-1.4361438,0.0000000,-0.3142236,1.4701175690,1.7861986160,3.1415927410,-0.0299304612,20273.9160156250,-8.4580392838
115106,-1.4647180,0.0000000,-0.3235464,-1.4317008,0.0000000,-0.3162531,1.4662139416,1.7881985903,3.1415927410,-0.0338130780,20288.6835937500,-5.6527280807
115107,-1.4640533,0.0000000,-0.3264719,-1.4314514,0.0000000,-0.3192019,1.4666093588,1.7901984453,3.1415927410,-0.0334026180,20305.1250000000,-4.6349592209
115108,-1.4633887,0.0000000,-0.3293973,-1.4322596,0.0000000,-0.3223904,1.4680950642,1.7921984196,3.1415927410,-0.0319079757,20321.9765625000,-6.0628018379
115109,-1.4627240,0.0000000,-0.3323227,-1.4287702,0.0000000,-0.3246086,1.4651808739,1.7941985130,3.1415927410,-0.0348190889,20337.0722656250,-4.2860307693
115110,-1.4620594,0.0000000,-0.3352482,-1.4441568,0.0000000,-0.3311432,1.4816358089,1.7961984873,3.1415927410,-0.0183671992,20359.8027343750,-10.9776096344
115111,-1.4613947,0.0000000,-0.3381736,-1.5189804,0.0000000,-0.3514992,1.5591193438,1.7981984615,3.1415927410,0.0591073148,20406.6796875000,-55.8490295410
115112,-1.4607301,0.0000000,-0.3410991,-1.4379845,0.0000000,-0.3357877,1.4766694307,1.8001984358,3.1415927410,-0.0233575478,20390.2343750000,-10.5250091553
115113,-1.4600654,0.0000000,-0.3440245,-1.4243092,0.0000000,-0.3355996,1.4633126259,1.8021982908,3.1415927410,-0.0367353745,20401.1054687500,-6.3110995293
115114,-1.4594008,0.0000000,-0.3469500,-1.4493005,0.0000000,-0.3445488,1.4896931648,1.8041981459,3.1415927410,-0.0103818551,20427.7128906250,-14.3462715149
115115,-1.4587362,0.0000000,-0.3498754,-1.4455830,0.0000000,-0.3467207,1.4865818024,1.8061978817,3.1415927410,-0.0135261547,20442.6074218750,-15.5228910446
